Id,WorkoutId,HorseId,WorkoutTypeId,Distance,WorkoutDistanceTypeId,Minutes,Seconds,Fifths,Comment,CreatedAt
130646,914,20202470,14,0.0,,,,,,2023-03-20 15:08:00
130647,914,20172826,14,0.0,,,,,,2023-03-20 15:08:14
130648,914,20202001,1,0.0,1.0,,,,,2023-03-20 15:08:37
130649,914,20191436,14,0.0,,,,,,2023-03-20 15:08:52
130650,914,20200587,14,0.0,,,,,,2023-03-20 15:09:12
130651,914,20191401,2,3.0,,,37.0,4.0,RIDDEN WITH BLUE PERSUASION,2023-03-20 15:10:11
130652,914,20192084,2,3.0,,,37.0,4.0,RIDDEN WITH BLUE SKY,2023-03-20 15:11:24
130653,914,20202718,14,0.0,,,,,,2023-03-20 15:11:46
130654,914,20202703,14,0.0,,,,,,2023-03-20 15:12:10
130655,914,20192140,24,0.0,,,,,,2023-03-20 15:12:26
130656,914,20180577,14,0.0,,,,,,2023-03-20 15:12:43
130657,914,20150457,25,0.0,,,,,,2023-03-20 15:12:57
130658,914,20191254,24,0.0,,,,,,2023-03-20 15:13:14
130659,914,20191421,25,0.0,,,,,,2023-03-20 15:14:02
130660,914,20170908,2,3.0,,,38.0,1.0,,2023-03-20 15:14:46
130661,914,20203088,25,0.0,,,,,,2023-03-20 15:15:03
130662,914,20170453,4,0.0,,,,,,2023-03-20 15:15:24
130663,915,20192004,24,0.0,,,,,,2023-03-21 07:49:39
130664,915,20180633,24,0.0,,,,,,2023-03-21 07:49:54
130665,915,20180880,24,0.0,,,,,,2023-03-21 07:50:06
130666,915,20182531,24,0.0,,,,,,2023-03-21 07:50:22
130667,915,20190919,24,0.0,,,,,,2023-03-21 07:50:35
130668,915,20180875,14,0.0,,,,,,2023-03-21 07:50:49
130669,915,20192135,14,0.0,,,,,,2023-03-21 07:51:00
130670,915,20202405,24,0.0,,,,,,2023-03-21 07:51:12
130671,915,20201680,24,0.0,,,,,,2023-03-21 07:51:24
130672,915,20191269,25,0.0,,,,,,2023-03-21 07:51:36
130673,915,20190686,4,0.0,,,,,,2023-03-21 07:51:48
130674,915,20170453,4,0.0,,,,,,2023-03-21 07:52:01
130675,915,20191749,25,0.0,,,,,,2023-03-21 07:52:15
130676,915,20201771,24,0.0,,,,,,2023-03-21 07:52:27
130677,915,20192675,14,0.0,,,,,,2023-03-21 07:52:44
130678,915,20192175,14,0.0,,,,,,2023-03-21 07:52:58
130679,915,20182157,24,0.0,,,,,,2023-03-21 07:53:11
130680,915,20181741,24,0.0,,,,,,2023-03-21 07:53:26
130681,915,20181741,24,0.0,,,,,,2023-03-21 07:53:26
130682,915,20163072,22,0.0,,,,,,2023-03-21 07:53:39
130683,915,20200294,1,0.0,1.0,,,,,2023-03-21 07:53:56
130684,915,20181978,14,0.0,,,,,,2023-03-21 07:54:08
130685,915,20181509,14,0.0,,,,,,2023-03-21 07:54:20
130686,915,20201766,24,0.0,,,,,,2023-03-21 07:54:33
130687,915,20190606,14,0.0,,,,,,2023-03-21 07:54:45
130688,915,20160415,24,0.0,,,,,,2023-03-21 07:54:56
130689,915,20201115,24,0.0,,,,,,2023-03-21 07:55:11
130690,915,20172215,14,0.0,,,,,,2023-03-21 07:55:23
130691,915,20172164,1,0.0,1.0,,,,,2023-03-21 07:55:40
130692,915,20181074,24,0.0,,,,,,2023-03-21 07:55:50
130693,915,20160268,24,0.0,,,,,,2023-03-21 07:56:04
130694,915,20170099,3,6.0,1.0,1.0,24.0,2.0,,2023-03-21 07:56:49
130695,915,20170620,14,0.0,,,,,,2023-03-21 07:57:02
130696,915,20200138,4,0.0,,,,,,2023-03-21 07:57:17
130697,915,20200249,24,0.0,,,,,,2023-03-21 07:57:31
130698,915,20182228,4,0.0,,,,,,2023-03-21 07:57:46
130699,915,20190166,24,0.0,,,,,,2023-03-21 07:58:04
130700,915,20201433,14,0.0,,,,,,2023-03-21 07:58:18
130701,915,20200209,14,0.0,,,,,,2023-03-21 07:58:31
130702,915,20171738,14,0.0,,,,,,2023-03-21 07:58:45
130703,915,20203417,24,0.0,,,,,,2023-03-21 08:00:11
130704,915,20201039,24,0.0,,,,,,2023-03-21 08:00:26
130705,915,20201751,24,0.0,,,,,,2023-03-21 08:00:41
130706,915,20201488,2,4.0,1.0,,49.0,3.0,RIDDEN,2023-03-21 08:01:15
130707,915,20202516,24,0.0,,,,,,2023-03-21 08:01:52
130708,915,20202985,24,0.0,,,,,,2023-03-21 08:02:05
130709,915,20201206,24,0.0,,,,,,2023-03-21 08:02:20
130710,915,20201660,24,0.0,,,,,,2023-03-21 08:02:34
130711,915,20193016,22,0.0,,,,,,2023-03-21 08:02:46
130712,915,20191532,22,0.0,,,,,,2023-03-21 08:02:58
130713,915,20200658,24,0.0,,,,,,2023-03-21 08:03:17
